"Catalog","CreatedDateTime","Id","RequestType","Resource","State","AdditionalProperties"
"Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageCatalog","7/28/2026 3:25:59 AM","e3502013-18b6-40b9-83fa-6ba0254de4bc","adminAdd","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageResource","delivered","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,
"Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageCatalog","7/28/2026 3:26:01 AM","63cee90e-7572-427d-804c-adb203e60785","adminAdd","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageResource","delivered","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,
"Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageCatalog","7/28/2026 3:26:03 AM","51035170-3327-4caf-a60d-f1a8795f9292","adminAdd","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageResource","delivered","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,
"Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageCatalog","7/28/2026 3:26:04 AM","e89cf960-1fd5-4928-a21b-448523bc1a3c","adminAdd","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageResource","delivered","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,
"Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageCatalog","7/28/2026 3:26:06 AM","a5fca6a3-b129-401c-8fdd-3b8cab80905c","adminAdd","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageResource","delivered","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,
"Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageCatalog","7/28/2026 3:26:07 AM","99ef160c-3071-4e4f-94b1-e1a2e6860e1d","adminAdd","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageResource","delivered","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,
"Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageCatalog","7/28/2026 3:26:09 AM","891b07bd-58e7-4123-ae86-2c041578c067","adminAdd","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageResource","delivered","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,
"Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageCatalog","7/28/2026 3:26:10 AM","da679974-c32a-453b-a251-57d39fe1ffa8","adminAdd","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageResource","delivered","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,
"Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageCatalog","7/28/2026 3:26:11 AM","e9652739-e904-43aa-b12b-0d828a28cea3","adminAdd","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageResource","delivered","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,
"Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageCatalog","7/28/2026 3:26:13 AM","707edcf2-b524-40de-8f36-d635c49b9a96","adminAdd","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageResource","delivered","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,
"Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageCatalog","7/28/2026 3:26:14 AM","41cf5d68-67c1-4f6f-bc1e-f8942530ff58","adminAdd","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageResource","delivered","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,
"Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageCatalog","7/28/2026 3:26:16 AM","7d200c20-caeb-4719-b7d2-b5f91fb728a3","adminAdd","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageResource","delivered","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,
"Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageCatalog","7/28/2026 3:26:17 AM","50205143-5413-4e28-9493-6531e0ca742e","adminAdd","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageResource","delivered","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,
"Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageCatalog","7/28/2026 3:26:19 AM","13e4164e-673f-4c9f-a2e9-1773f8601931","adminAdd","Microsoft.Graph.PowerShell.Models.MicrosoftGraphAccessPackageResource","delivered","System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,
